اذون اضافة الزيادات تفصيلية 

"التحديد";"م";"العملية";"المدخل";"كود الاذن";"التاريخ";"الوقت";"كود الصنف";"المخزن";"الصنف";"الوحدة";"الكمية";"السعر قبل";"التأثير";"الخصم %";"السعر";"الاجمالى"
"colchkbox";"moslsl";"title";"fuser";"idno_s";"fshortdate";"ftime";"fcodeunit";"fstorfrom";"fname";"funit";"fquntity";"fpr_sd";"fefect";"fpdis";"fpr_s";"gtot"
"True";"";" ";"ابراهيم الضويني ";"22";"09/04/2026 12:00:00 ص";"09/04/2026 11:04:15 ص";;"محل 1";"شاسيه ابيض Alta";"ك";"1.0000";"0.0000";"-";"0.0000";"5.5600";"5.5600000000000"
"True";"";" ";"ابراهيم الضويني ";"22";"09/04/2026 12:00:00 ص";"09/04/2026 11:04:15 ص";;"محل 1";"لقمه مفتاح مفرد فلات سانشي اورجينال";"ك";"1.0000";"0.0000";"-";"0.0000";"15.7500";"15.7500000000000"
"True";"";" ";"ابراهيم الضويني ";"22";"09/04/2026 12:00:00 ص";"09/04/2026 11:04:15 ص";;"محل 1";"سداده سانشي الدوليه";"ك";"3.0000";"0.0000";"-";"0.0000";"2.2500";"6.7500000000000"
"True";"";" ";"ابراهيم الضويني ";"22";"09/04/2026 12:00:00 ص";"09/04/2026 11:04:15 ص";;"محل 1";"لقمه مفتاح ديفاتير (3 طرف سلم ) سانشي اورجينال";"ك";"4.0000";"0.0000";"-";"0.0000";"25.0000";"100.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"22";"09/04/2026 12:00:00 ص";"09/04/2026 11:04:15 ص";;"محل 1";"لقمه مفتاح سخان عريض (20A) سانشي اورجينال";"ك";"5.0000";"0.0000";"-";"0.0000";"66.9400";"334.7000000000000"
"True";"";" ";"ابراهيم الضويني ";"22";"09/04/2026 12:00:00 ص";"09/04/2026 11:04:15 ص";;"محل 1";"لقمه مفتاح سخان مجوز 2فاز 20 امبير سانشي اورجينال";"ك";"6.0000";"0.0000";"-";"0.0000";"88.0000";"528.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"23";"10/04/2026 12:00:00 ص";"10/04/2026 01:33:33 م";;"محل 1";"وش بيضاوي (ابيض/رمادي/ سن فيل/اسودلامع) Alta";"ك";"21.0000";"0.0000";"-";"0.0000";"9.6500";"202.6500000000000"
"True";"";" ";"ابراهيم الضويني ";"23";"10/04/2026 12:00:00 ص";"10/04/2026 01:33:33 م";;"محل 1";"وش  بالإطار  سانشي  ";"ك";"29.0000";"0.0000";"-";"0.0000";"8.1000";"234.9000000000000"
"True";"";" ";"ابراهيم الضويني ";"23";"10/04/2026 12:00:00 ص";"10/04/2026 01:33:33 م";;"محل 1";"وش فضي سانشي شرم";"ك";"24.0000";"0.0000";"-";"0.0000";"35.0000";"840.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"23";"10/04/2026 12:00:00 ص";"10/04/2026 01:33:33 م";;"محل 1";"وش  كود3 فئه 3 سانشي اورجينال";"ك";"11.0000";"0.0000";"-";"0.0000";"12.5600";"138.1600000000000"
"True";"";" ";"ابراهيم الضويني ";"23";"10/04/2026 12:00:00 ص";"10/04/2026 01:33:33 م";;"محل 1";"وش كود16 فئه A اورجينال";"ك";"204.0000";"0.0000";"-";"0.0000";"21.3800";"4361.5200000000000"
"True";"";" ";"ابراهيم الضويني ";"23";"10/04/2026 12:00:00 ص";"10/04/2026 01:33:33 م";;"محل 1";"وش كود 6 فئه B  اورجينال";"ك";"60.0000";"0.0000";"-";"0.0000";"16.8800";"1012.8000000000000"
"True";"";" ";"ابراهيم الضويني ";"23";"10/04/2026 12:00:00 ص";"10/04/2026 01:33:33 م";;"محل 1";"وش كود 16 فئه B اورجينال";"ك";"3.0000";"0.0000";"-";"0.0000";"25.8800";"77.6400000000000"
"True";"";" ";"ابراهيم الضويني ";"23";"10/04/2026 12:00:00 ص";"10/04/2026 01:33:33 م";;"محل 1";"وش كود 17 فئه A اورجينال";"ك";"180.0000";"0.0000";"-";"0.0000";"22.8800";"4118.4000000000000"
